transaction id,transaction_type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000170527,P2M,Food,526,SUCCESS,26-35,26-35,Tamil Nadu,ICICI,PNB,Android,4G,0,22,Friday,0
TXN0000248684,P2P,Healthcare,318,SUCCESS,36-45,36-45,Gujarat,Yes Bank,Axis,Android,4G,0,19,Sunday,1
TXN0000205744,P2M,Fuel,3176,SUCCESS,26-35,26-35,Tamil Nadu,HDFC,Kotak,Android,3G,0,17,Monday,0
TXN0000028152,P2P,Grocery,282,SUCCESS,26-35,18-25,Rajasthan,Kotak,ICICI,Android,4G,0,11,Sunday,1
TXN0000237943,P2P,Education,2418,SUCCESS,46-55,36-45,West Bengal,Kotak,IndusInd,Android,4G,0,16,Thursday,0
TXN0000043950,P2P,Fuel,553,SUCCESS,26-35,46-55,Gujarat,PNB,PNB,Android,5G,0,13,Thursday,0
TXN0000096753,Bill Payment,Fuel,1548,SUCCESS,36-45,36-45,Delhi,HDFC,HDFC,iOS,4G,0,19,Wednesday,0
TXN0000153505,P2M,Grocery,445,SUCCESS,26-35,26-35,Uttar Pradesh,SBI,Axis,Android,4G,0,10,Friday,0
TXN0000220345,P2P,Other,1075,SUCCESS,46-55,26-35,Maharashtra,HDFC,Axis,Android,4G,0,13,Friday,0
TXN0000012721,P2P,Food,10,SUCCESS,46-55,26-35,Uttar Pradesh,Yes Bank,Kotak,iOS,4G,0,9,Monday,0
TXN0000030679,P2P,Other,1236,SUCCESS,26-35,18-25,West Bengal,Kotak,HDFC,Android,WiFi,0,17,Monday,0
TXN0000178032,P2P,Fuel,1247,SUCCESS,18-25,46-55,Uttar Pradesh,IndusInd,PNB,Android,5G,0,12,Tuesday,0
TXN0000158377,Bill Payment,Grocery,181,SUCCESS,36-45,56+,Maharashtra,HDFC,HDFC,Android,4G,0,20,Sunday,1
TXN0000185101,P2P,Transport,66,SUCCESS,26-35,18-25,Maharashtra,ICICI,HDFC,iOS,4G,0,16,Thursday,0
TXN0000125817,P2M,Fuel,1393,SUCCESS,36-45,46-55,Andhra Pradesh,IndusInd,IndusInd,iOS,4G,0,7,Thursday,0
TXN0000028329,P2P,Fuel,520,SUCCESS,46-55,18-25,Rajasthan,HDFC,Kotak,Android,5G,0,19,Sunday,1
TXN0000123107,P2P,Utilities,2318,SUCCESS,26-35,18-25,Telangana,HDFC,HDFC,Android,4G,0,18,Monday,0
TXN0000182950,Bill Payment,Grocery,724,SUCCESS,26-35,36-45,Uttar Pradesh,SBI,HDFC,Android,5G,0,21,Thursday,0
TXN0000210787,P2P,Grocery,151,SUCCESS,18-25,56+,Maharashtra,IndusInd,SBI,Android,4G,0,11,Saturday,1
TXN0000212999,P2P,Food,173,SUCCESS,46-55,36-45,Delhi,SBI,ICICI,Android,5G,0,11,Sunday,1
TXN0000028672,P2P,Other,635,SUCCESS,26-35,26-35,West Bengal,SBI,IndusInd,Web,5G,0,9,Sunday,1
TXN0000006860,P2P,Entertainment,532,SUCCESS,46-55,18-25,Tamil Nadu,HDFC,ICICI,iOS,WiFi,0,18,Saturday,1
TXN0000084519,P2M,Shopping,1418,SUCCESS,56+,36-45,Andhra Pradesh,ICICI,PNB,iOS,5G,0,12,Saturday,1
TXN0000110115,Bill Payment,Shopping,2429,SUCCESS,18-25,36-45,Telangana,SBI,HDFC,Android,WiFi,0,10,Friday,0
TXN0000059322,P2P,Education,16503,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,SBI,Android,4G,0,13,Wednesday,0
TXN0000032084,P2P,Food,310,SUCCESS,26-35,26-35,Tamil Nadu,IndusInd,Kotak,Android,4G,0,18,Friday,0
TXN0000188848,P2M,Education,700,SUCCESS,18-25,26-35,Gujarat,HDFC,Axis,Android,4G,0,20,Sunday,1
TXN0000105824,Bill Payment,Grocery,3021,SUCCESS,18-25,26-35,Karnataka,ICICI,Axis,Android,4G,0,13,Wednesday,0
TXN0000083054,P2P,Healthcare,2140,SUCCESS,26-35,18-25,Gujarat,PNB,Kotak,Android,5G,0,10,Monday,0
TXN0000112699,P2M,Food,282,SUCCESS,36-45,46-55,Karnataka,HDFC,SBI,Android,4G,0,0,Saturday,1
TXN0000107060,P2P,Utilities,1610,SUCCESS,36-45,26-35,Delhi,HDFC,SBI,iOS,WiFi,0,8,Wednesday,0
TXN0000209204,Bill Payment,Entertainment,472,SUCCESS,26-35,26-35,Maharashtra,Kotak,ICICI,iOS,4G,0,10,Sunday,1
TXN0000205769,P2P,Shopping,1152,SUCCESS,18-25,26-35,Delhi,IndusInd,Kotak,Android,4G,0,23,Friday,0
TXN0000201466,P2M,Shopping,1946,SUCCESS,18-25,18-25,Maharashtra,Yes Bank,ICICI,Android,4G,0,12,Wednesday,0
TXN0000051475,P2P,Grocery,362,SUCCESS,46-55,26-35,Uttar Pradesh,SBI,SBI,iOS,4G,0,14,Monday,0
TXN0000196853,P2P,Grocery,323,SUCCESS,26-35,26-35,Tamil Nadu,SBI,ICICI,iOS,4G,0,18,Monday,0
TXN0000003813,Bill Payment,Food,1377,SUCCESS,26-35,26-35,Gujarat,HDFC,IndusInd,Android,5G,0,13,Thursday,0
TXN0000195717,P2M,Shopping,6998,SUCCESS,36-45,46-55,Gujarat,HDFC,HDFC,Android,4G,0,8,Tuesday,0
TXN0000241877,P2M,Grocery,533,SUCCESS,36-45,26-35,Andhra Pradesh,SBI,Kotak,Android,4G,0,15,Saturday,1
TXN0000154554,Bill Payment,Grocery,783,SUCCESS,18-25,26-35,Gujarat,IndusInd,Yes Bank,iOS,4G,0,13,Monday,0
TXN0000146584,P2M,Other,696,SUCCESS,36-45,36-45,Karnataka,Kotak,Kotak,Android,5G,0,11,Thursday,0
TXN0000223845,Bill Payment,Other,940,SUCCESS,36-45,18-25,Maharashtra,ICICI,Kotak,Android,4G,0,21,Monday,0
TXN0000144376,P2P,Grocery,825,FAILED,26-35,26-35,Tamil Nadu,HDFC,Yes Bank,Android,4G,0,11,Monday,0
TXN0000097207,Recharge,Food,1115,SUCCESS,26-35,26-35,Karnataka,PNB,ICICI,Web,5G,0,15,Saturday,1
TXN0000060391,P2M,Shopping,2281,SUCCESS,18-25,18-25,Karnataka,SBI,IndusInd,Android,4G,0,8,Friday,0
TXN0000218169,P2M,Healthcare,340,SUCCESS,36-45,36-45,Telangana,Yes Bank,HDFC,Android,4G,0,12,Sunday,1
TXN0000162024,P2M,Shopping,3547,SUCCESS,36-45,26-35,Uttar Pradesh,ICICI,Yes Bank,Android,5G,0,12,Friday,0
TXN0000024100,P2M,Grocery,1174,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,IndusInd,Android,5G,0,11,Monday,0
TXN0000046807,P2P,Food,1108,SUCCESS,36-45,26-35,Gujarat,ICICI,ICICI,Android,4G,0,19,Monday,0
TXN0000064325,P2P,Grocery,1507,SUCCESS,46-55,26-35,Tamil Nadu,SBI,Kotak,Android,4G,0,15,Wednesday,0
TXN0000156141,P2P,Entertainment,136,SUCCESS,36-45,18-25,Maharashtra,HDFC,SBI,Android,4G,0,10,Saturday,1
TXN0000095966,Recharge,Entertainment,284,SUCCESS,18-25,26-35,West Bengal,IndusInd,Yes Bank,Android,WiFi,0,22,Thursday,0
TXN0000140432,P2P,Transport,78,SUCCESS,26-35,18-25,Tamil Nadu,Yes Bank,SBI,Android,4G,0,12,Thursday,0
TXN0000139348,P2M,Fuel,628,FAILED,36-45,18-25,Uttar Pradesh,ICICI,HDFC,Android,4G,0,17,Sunday,1
TXN0000001962,Bill Payment,Fuel,1504,SUCCESS,26-35,36-45,Rajasthan,SBI,Kotak,Android,4G,0,20,Tuesday,0
TXN0000027303,P2M,Food,279,SUCCESS,56+,18-25,Telangana,SBI,Kotak,Android,4G,0,15,Friday,0
TXN0000175406,P2M,Fuel,3605,SUCCESS,18-25,18-25,Uttar Pradesh,ICICI,SBI,Android,4G,0,20,Thursday,0
TXN0000178353,P2P,Transport,53,SUCCESS,18-25,36-45,Maharashtra,Axis,Axis,Android,5G,0,21,Thursday,0
TXN0000116844,Bill Payment,Food,82,SUCCESS,56+,18-25,Rajasthan,Kotak,SBI,Android,4G,0,18,Wednesday,0
TXN0000196050,Bill Payment,Grocery,232,SUCCESS,56+,46-55,Delhi,Kotak,Kotak,iOS,4G,0,1,Wednesday,0
TXN0000144455,Recharge,Utilities,199,SUCCESS,26-35,18-25,Gujarat,Yes Bank,SBI,Android,4G,0,14,Monday,0
TXN0000057762,P2P,Healthcare,354,SUCCESS,36-45,36-45,West Bengal,SBI,ICICI,Web,4G,0,13,Tuesday,0
TXN0000096335,Bill Payment,Utilities,1535,SUCCESS,36-45,26-35,Delhi,PNB,PNB,iOS,4G,0,17,Tuesday,0
